[0.000000] (-) TimerEvent: {}
[0.000126] (-) JobUnselected: {'identifier': 'aic_adapter'}
[0.000167] (-) JobUnselected: {'identifier': 'aic_assets'}
[0.000180] (-) JobUnselected: {'identifier': 'aic_bringup'}
[0.000206] (-) JobUnselected: {'identifier': 'aic_control_interfaces'}
[0.000215] (-) JobUnselected: {'identifier': 'aic_controller'}
[0.000258] (-) JobUnselected: {'identifier': 'aic_description'}
[0.000285] (-) JobUnselected: {'identifier': 'aic_engine'}
[0.000321] (-) JobUnselected: {'identifier': 'aic_engine_interfaces'}
[0.000348] (-) JobUnselected: {'identifier': 'aic_example_policies'}
[0.000379] (-) JobUnselected: {'identifier': 'aic_gazebo'}
[0.000394] (-) JobUnselected: {'identifier': 'aic_model'}
[0.000402] (-) JobUnselected: {'identifier': 'aic_model_interfaces'}
[0.000410] (-) JobUnselected: {'identifier': 'aic_mujoco'}
[0.000417] (-) JobUnselected: {'identifier': 'aic_scoring'}
[0.000424] (-) JobUnselected: {'identifier': 'aic_task'}
[0.000431] (-) JobUnselected: {'identifier': 'aic_task_interfaces'}
[0.000438] (-) JobUnselected: {'identifier': 'aic_teleoperation'}
[0.000445] (-) JobUnselected: {'identifier': 'lerobot_robot_aic'}
[0.000453] (-) EventReactorShutdown: {}
